...Comp Geom...
94 Num Comps
179 Total Num Meshes
156608 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
    1.211      0.000      0.038      0.000  Aft Fin 3      
    1.211      0.000      0.038      0.000  Aft Fin 3      
    1.211      0.000      0.038      0.000  Aft Fin 4      
    1.211      0.000      0.038      0.000  Aft Fin 4      
   27.029     26.318      6.066      6.066  MK-83 JDAM (mid)
   27.029     26.318      6.066      6.066  MK-83 JDAM (mid)
    1.211      1.067      0.038      0.038  Aft Fin 1      
    1.211      1.067      0.038      0.038  Aft Fin 1      
    1.211      1.104      0.038      0.038  Aft Fin 2      
    1.211      1.104      0.038      0.038  Aft Fin 2      
    1.211      1.024      0.038      0.038  Aft Fin 3      
    1.211      1.024      0.038      0.038  Aft Fin 3      
    1.211      0.989      0.038      0.038  Aft Fin 4      
    1.211      0.989      0.038      0.038  Aft Fin 4      
  467.833    363.344    110.385    110.385  Main_Wing      
  467.833    363.344    110.385    110.385  Main_Wing      
  157.876      0.000     38.651      0.000  Wing Fuel Tank 
  157.876      0.000     38.651      0.000  Wing Fuel Tank 
  128.031     97.325     15.842     15.842  HStab          
  128.031     97.325     15.842     15.842  HStab          
   99.377     93.346      8.317      8.317  VStab          
   99.377     93.346      8.317      8.317  VStab          
-------------------------------------------------
 4521.047   2450.689   1545.552   1030.950  Totals         

Tag_Theo_Area   Tag_Wet_Area    Tag_Name
      653.186        384.329    Fuselage_S_Surf0
      107.850         38.704    Canopy_S_Surf0 
       12.287          0.000    Seat_S_Surf0   
       14.147          0.000    Seat_S_Surf1   
       19.807          0.000    Pilot (Female 20%)_S_Surf0
      146.509         81.687    Air Intake_S_Surf0
      146.509         81.687    Air Intake_S_Surf1
       84.052         12.621    S Ducts_S_Surf0
       84.052         12.621    S Ducts_S_Surf1
      176.068          0.031    Main Fuel Tank_S_Surf0
       38.000          0.000    Main Fuel Tank 2_S_Surf0
       34.500          0.029    Main Fuel Tank 3_S_Surf0
       12.089          0.000    ANAPG-81 Radar_S_Surf0
       19.250          0.000    Avioincs_S_Surf0
        0.000          0.000    F100-PW-229 (Engine)_S_Surf0
      169.947          5.197    External Casing_S_Surf0
       36.294         34.116    Nozzle Exit_S_Surf0
        3.023          3.023    Front Tire _S_Surf0
        1.629          0.000    Front Tire _S_Surf1
        3.023          3.023    Front Tire _S_Surf2
        1.629          0.000    Front Tire _S_Surf3
        4.370          3.026    Front Struct_S_Surf0
        4.370          2.962    Diagonal Struct_S_Surf0
        3.023          0.000    Front Tire (Stored)_S_Surf0
        1.629          0.000    Front Tire (Stored)_S_Surf1
        3.023          0.000    Front Tire (Stored)_S_Surf2
        1.629          0.000    Front Tire (Stored)_S_Surf3
        4.370          0.000    Front Struct (Stored)_S_Surf0
        4.370          0.000    Diagonal Struct (Stored)_S_Surf0
        3.023          0.000    Aft Tires_S_Surf0
        6.706          6.416    Aft Tires_S_Surf1
        3.023          0.000    Aft Tires_S_Surf2
        6.706          6.416    Aft Tires_S_Surf3
        7.690          7.430    Aft Structs_S_Surf0
        7.690          7.430    Aft Structs_S_Surf1
        4.916          4.179    Aft Structs_S_Surf0
        4.916          4.179    Aft Structs_S_Surf1
        2.631          2.624    Aft Structs_S_Surf0
        2.631          2.624    Aft Structs_S_Surf1
        3.023          0.000    Aft Tires (Stored)_S_Surf0
        6.706          0.057    Aft Tires (Stored)_S_Surf1
        3.023          0.000    Aft Tires (Stored)_S_Surf2
        6.706          0.057    Aft Tires (Stored)_S_Surf3
        9.399          0.000    Aft Structs (Stored)_S_Surf0
        9.399          0.000    Aft Structs (Stored)_S_Surf1
        5.463          0.000    Aft Structs (Stored)_S_Surf0
        5.463          0.000    Aft Structs (Stored)_S_Surf1
       21.314          3.655    Center Pylon_S_Surf0
      112.682        109.862    Center Drop Tank_S_Surf0
       11.845         10.383    Inward Pylons_S_Surf0
       11.845         10.383    Inward Pylons_S_Surf1
       21.500         14.667    MK-83 Adapter_S_Surf0
       21.500         14.667    MK-83 Adapter_S_Surf1
       27.029          9.413    MK-83 JDAM (1)_S_Surf0
       27.029          9.413    MK-83 JDAM (1)_S_Surf1
        1.211          1.067    Aft Fin 1_S_Surf0
        1.211          1.067    Aft Fin 1_S_Surf1
        1.211          0.002    Aft Fin 2_S_Surf0
        1.211          0.002    Aft Fin 2_S_Surf1
        1.211          1.104    Aft Fin 3_S_Surf0
        1.211          1.104    Aft Fin 3_S_Surf1
        1.211          0.535    Aft Fin 4_S_Surf0
        1.211          0.535    Aft Fin 4_S_Surf1
       27.029          9.771    MK-83 JDAM (2)_S_Surf0
       27.029          9.771    MK-83 JDAM (2)_S_Surf1
        1.211          0.007    Aft Fin 1_S_Surf0
        1.211          0.007    Aft Fin 1_S_Surf1
        1.211          1.104    Aft Fin 2_S_Surf0
        1.211          1.104    Aft Fin 2_S_Surf1
        1.211          0.509    Aft Fin 3_S_Surf0
        1.211          0.509    Aft Fin 3_S_Surf1
        1.211          1.067    Aft Fin 4_S_Surf0
        1.211          1.067    Aft Fin 4_S_Surf1
      112.682         88.311    Side Drop Tanks_S_Surf0
      112.682         88.311    Side Drop Tanks_S_Surf1
       10.375         10.375    Middle Pylons_S_Surf0
       10.375         10.375    Middle Pylons_S_Surf1
        8.906          8.906    Outward Pylons_S_Surf0
        8.906          8.906    Outward Pylons_S_Surf1
       20.992          5.317    AIM-120C (inner)_S_Surf0
       20.992          5.317    AIM-120C (inner)_S_Surf1
        1.211          1.100    Aft Fin 1_S_Surf0
        1.211          1.100    Aft Fin 1_S_Surf1
        1.211          1.024    Aft Fin 2_S_Surf0
        1.211          1.024    Aft Fin 2_S_Surf1
        1.211          1.211    Aft Fin 3_S_Surf0
        1.211          1.211    Aft Fin 3_S_Surf1
        1.211          1.211    Aft Fin 4_S_Surf0
        1.211          1.211    Aft Fin 4_S_Surf1
        0.303          0.000    Canard 1_S_Surf0
        0.303          0.000    Canard 1_S_Surf1
        0.303          0.000    Canard 2_S_Surf0
        0.303          0.000    Canard 2_S_Surf1
        0.303          0.067    Canard 3_S_Surf0
        0.303          0.067    Canard 3_S_Surf1
        0.303          0.067    Canard 4_S_Surf0
        0.303          0.067    Canard 4_S_Surf1
       20.992         12.117    AIM-120C (mid)_S_Surf0
       20.992         12.117    AIM-120C (mid)_S_Surf1
        1.211          0.562    Aft Fin 1_S_Surf0
        1.211          0.562    Aft Fin 1_S_Surf1
        1.211          0.560    Aft Fin 2_S_Surf0
        1.211          0.560    Aft Fin 2_S_Surf1
        1.211          1.211    Aft Fin 3_S_Surf0
        1.211          1.211    Aft Fin 3_S_Surf1
        1.211          1.211    Aft Fin 4_S_Surf0
        1.211          1.211    Aft Fin 4_S_Surf1
        0.303          0.000    Canard 1_S_Surf0
        0.303          0.000    Canard 1_S_Surf1
        0.303          0.000    Canard 2_S_Surf0
        0.303          0.000    Canard 2_S_Surf1
        0.303          0.200    Canard 3_S_Surf0
        0.303          0.200    Canard 3_S_Surf1
        0.303          0.200    Canard 4_S_Surf0
        0.303          0.200    Canard 4_S_Surf1
       20.992         20.094    AIM-120C (outer)_S_Surf0
       20.992         20.094    AIM-120C (outer)_S_Surf1
        1.211          1.211    Aft Fin 1_S_Surf0
        1.211          1.211    Aft Fin 1_S_Surf1
        1.211          1.211    Aft Fin 2_S_Surf0
        1.211          1.211    Aft Fin 2_S_Surf1
        1.211          1.211    Aft Fin 3_S_Surf0
        1.211          1.211    Aft Fin 3_S_Surf1
        1.211          1.211    Aft Fin 4_S_Surf0
        1.211          1.211    Aft Fin 4_S_Surf1
        0.303          0.303    Canard 1_S_Surf0
        0.303          0.280    Canard 1_S_Surf1
        0.303          0.291    Canard 2_S_Surf0
        0.303          0.303    Canard 2_S_Surf1
        0.303          0.283    Canard 3_S_Surf0
        0.303          0.303    Canard 3_S_Surf1
        0.303          0.303    Canard 4_S_Surf0
        0.303          0.296    Canard 4_S_Surf1
       15.531         11.960    AIM-9X Sidewinder_S_Surf0
       15.531         11.960    AIM-9X Sidewinder_S_Surf1
        1.211          1.211    Aft Fin 1_S_Surf0
        1.211          1.211    Aft Fin 1_S_Surf1
        1.211          1.211    Aft Fin 2_S_Surf0
        1.211          1.211    Aft Fin 2_S_Surf1
        1.211          1.211    Aft Fin 3_S_Surf0
        1.211          1.211    Aft Fin 3_S_Surf1
        1.211          1.211    Aft Fin 4_S_Surf0
        1.211          1.211    Aft Fin 4_S_Surf1
        0.303          0.263    Canard 1_S_Surf0
        0.303          0.261    Canard 1_S_Surf1
        0.303          0.260    Canard 2_S_Surf0
        0.303          0.263    Canard 2_S_Surf1
        0.303          0.000    Canard 3_S_Surf0
        0.303          0.000    Canard 3_S_Surf1
        0.303          0.001    Canard 4_S_Surf0
        0.303          0.001    Canard 4_S_Surf1
       27.029          5.106    MK-83 JDAM (inner)_S_Surf0
       27.029          5.106    MK-83 JDAM (inner)_S_Surf1
        1.211          0.000    Aft Fin 1_S_Surf0
        1.211          0.000    Aft Fin 1_S_Surf1
        1.211          0.000    Aft Fin 2_S_Surf0
        1.211          0.000    Aft Fin 2_S_Surf1
        1.211          0.000    Aft Fin 3_S_Surf0
        1.211          0.000    Aft Fin 3_S_Surf1
        1.211          0.000    Aft Fin 4_S_Surf0
        1.211          0.000    Aft Fin 4_S_Surf1
       27.029         26.318    MK-83 JDAM (mid)_S_Surf0
       27.029         26.318    MK-83 JDAM (mid)_S_Surf1
