WARNING: 1 open meshes merged
     Merged: Main_Wing
...Mass Properties...
45 Num Comps
38 Total Num Meshes
70608 Total Num Tris

1.135891057322639e+03             Total Mass
2.659475224265967e+01 -1.594777251920169e-05 -4.384094526893802e-02       Center of Gravity
2.117280115161348e+04 8.631919491773444e+04 1.057309812222076e+05       Ixx, Iyy, Izz
-4.115939108620534e-01 2.468335188106527e+02 3.308481041248168e-01       Ixy, Ixz, Iyz
1.023495560824521e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Wing Fuel Tank	5.975750787877760e+01	2.707746689424165e+01	7.191642810026170e+00	-9.007352581831481e-02	4.931456027644817e+02	3.123359408395585e+02	8.013538894633564e+02	1.989811346409928e+02	-8.065085110286686e+00	-5.172616792018214e+00	3.864952238756077e+01
Wing Fuel Tank	5.975741922272151e+01	2.707746395388313e+01	-7.191638036852456e+00	-9.007309507154732e-02	4.931451683639285e+02	3.123357416325871e+02	8.013529547460790e+02	-1.990859529170739e+02	-8.065054169149857e+00	5.252307874679544e+00	3.864946504724809e+01
HStab	4.803733314629948e+00	4.116348220885118e+01	6.061575373423069e+00	-4.527377749105138e-01	1.581565342674932e+01	1.815227658512921e+01	3.388582449209911e+01	5.624337953421755e+00	-3.569226720121733e-04	3.334734304762312e-03	1.088694252330503e+01
HStab	4.803812908092161e+00	4.116346646951025e+01	-6.061535585215892e+00	-4.527383579588183e-01	1.581636330098246e+01	1.815266717257830e+01	3.388684446937786e+01	-5.631457156328747e+00	-3.561100501128973e-04	2.638761925172705e-03	1.088712290997346e+01
VStab	1.298343562363347e+01	4.154151239019045e+01	3.577271316873008e+00	3.207650007236379e+00	5.526713730247425e+01	9.436494004889593e+01	5.215610148122173e+01	9.753651730595525e+00	2.685439942807916e+01	1.769803896198370e+01	7.775949254510186e+00
VStab	1.298642698443531e+01	4.154088656007565e+01	-3.577105226027641e+00	3.207202374040591e+00	5.527887042660082e+01	9.441916185025431e+01	5.219776234177454e+01	-9.763674094853480e+00	2.687526989445129e+01	-1.769047668192109e+01	7.777740819583506e+00
Fuselage_pm	2.222430000000000e+02	2.420000000000000e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Fuel System Mass_pm	3.143200000000000e+01	2.719496510000000e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Ordinance Pylons Mass_pm	3.729700000000000e+01	2.719496510000000e+01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
External Casing_pm	1.545904290000000e+02	4.066251500000000e+01	0.000000000000000e+00	-5.000000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
